StudentID SubjectIndex OHT1 OHT2 Quiz1 Quiz2 Quiz3 Quiz4 Assignment1 Assignment2 Assignment3 Project FinalScore
240201029 1 15 18 10 9 8 7 14 12 15 20                                                                 85
240201029 2 14 17 9 8 8 8 13 11 14 18 80
240201029 3 12 16 10 9 8 8 14 12 13 19 82
240201029 4 17 19 9 7 9 8 12 14 18 17 90
240201029 5 13 15 8 8 7 6 16 12 15 18 83
240201029 6 16 18 10 8 9 7 15 13 14 19 88
240201029 7 14 18 8 9 8 7 14 12 16 20 86

240201045 1 14 17 9 8 8 8 13 11 14 18 80
240201045 2 13 16 8 7 7 6 14 10 12 17 78
240201045 3 12 15 9 8 8 7 14 13 12 19 82
240201045 4 15 17 9 9 8 7 13 14 16 19 84
240201045 5 14 16 7 6 6 5 15 12 14 17 79
240201045 6 16 18 8 9 9 7 14 13 17 18 85
240201045 7 17 19 10 9 9 8 15 14 18 20 89

240201047 1 12 16 10 9 8 8 14 12 13 19 82
240201047 2 11 15 9 8 7 7 12 10 12 18 78
240201047 3 13 16 10 9 8 8 14 12 13 20 84
240201047 4 16 18 8 9 8 7 13 14 17 19 85
240201047 5 14 16 9 8 7 6 15 13 16 18 81
240201047 6 18 20 10 9 9 8 16 14 19 20 90
240201047 7 15 17 9 8 7 6 14 12 15 18 83

240201049 1 15 18 10 9 8 7 14 12 15 20 85
240201049 2 14 17 9 8 8 8 13 11 14 18 80
240201049 3 12 16 10 9 8 8 14 12 13 19 82
240201049 4 17 19 9 7 9 8 12 14 18 17 90
240201049 5 13 15 8 8 7 6 16 12 15 18 83
240201049 6 16 18 10 8 9 7 15 13 14 19 88
240201049 7 14 18 8 9 8 7 14 12 16 20 86

240201051 1 14 17 9 8 8 8 13 11 14 18 80
240201051 2 13 16 8 7 7 6 14 10 12 17 78
240201051 3 12 15 9 8 8 7 14 13 12 19 82
240201051 4 15 17 9 9 8 7 13 14 16 19 84
240201051 5 14 16 7 6 6 5 15 12 14 17 79
240201051 6 16 18 8 9 9 7 14 13 17 18 85
240201051 7 17 19 10 9 9 8 15 14 18 20 89

240201053 1 12 16 10 9 8 8 14 12 13 19 82
240201053 2 11 15 9 8 7 7 12 10 12 18 78
240201053 3 13 16 10 9 8 8 14 12 13 20 84
240201053 4 16 18 8 9 8 7 13 14 17 19 85
240201053 5 14 16 9 8 7 6 15 13 16 18 81
240201053 6 18 20 10 9 9 8 16 14 19 20 90
240201053 7 15 17 9 8 7 6 14 12 15 18 83

240201055 1 15 18 10 9 8 7 14 12 15 20 85
240201055 2 14 17 9 8 8 8 13 11 14 18 80
240201055 3 12 16 10 9 8 8 14 12 13 19 82
240201055 4 17 19 9 7 9 8 12 14 18 17 90
240201055 5 13 15 8 8 7 6 16 12 15 18 83
240201055 6 16 18 10 8 9 7 15 13 14 19 88
240201055 7 14 18 8 9 8 7 14 12 16 20 86

240201057 1 14 17 9 8 8 8 13 11 14 18 80
240201057 2 13 16 8 7 7 6 14 10 12 17 78
240201057 3 12 15 9 8 8 7 14 13 12 19 82
240201057 4 15 17 9 9 8 7 13 14 16 19 84
240201057 5 14 16 7 6 6 5 15 12 14 17 79
240201057 6 16 18 8 9 9 7 14 13 17 18 85
240201057 7 17 19 10 9 9 8 15 14 18 20 89

240201059 1 12 16 10 9 8 8 14 12 13 19 82
240201059 2 11 15 9 8 7 7 12 10 12 18 78
240201059 3 13 16 10 9 8 8 14 12 13 20 84
240201059 4 16 18 8 9 8 7 13 14 17 19 85
240201059 5 14 16 9 8 7 6 15 13 16 18 81
240201059 6 18 20 10 9 9 8 16 14 19 20 90
240201059 7 15 17 9 8 7 6 14 12 15 18 83

240201061 1 15 18 10 9 8 7 14 12 15 20 85
240201061 2 14 17 9 8 8 8 13 11 14 18 80
240201061 3 12 16 10 9 8 8 14 12 13 19 82
240201061 4 17 19 9 7 9 8 12 14 18 17 90
240201061 5 13 15 8 8 7 6 16 12 15 18 83
